Artikul;Nomenklatura;Ves;Obyem;Koeffitsient;Nomenklaturnaya gruppa;Nomenklatura.Assortimentnaya gruppa;Nomenklatura. Proekty Misteriya;Nomenklatura.Kategoriya;Nomenklatura.Osnovnoy postavschik
842094s;Salfetka mikrofibra gladkogo pleteniya  �Steklo�  35kh40sm.;0,5;0,01;20;Salfetki dlya uborki iz mikrofibry;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;;BORD OOO
842095zh;Salfetka mikrofibra 30kh30sm 250gr/m2 universalnaya zheltaya;;;50;Salfetki dlya uborki iz mikrofibry;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;;BORD OOO
420122;Salfetka mikrofibra 30kh30sm universalnaya, tsvet v assort.;1;0,01;45;Salfetki dlya uborki iz mikrofibry;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;;ALPAK OOO
420120;"Salfetka mikrofibra 40kh30sm., ""Vitrazh"" universaln.";3;0,08;50;Salfetki dlya uborki iz mikrofibry;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;pod zakaz;TONUS-L OOO
842080;Tryapka d/mytya polov 50kh80sm,LAYMA, tsvet v assort., mikrofibra,300g/m2;8,5;0,065;72;Salfetki dlya uborki iz mikrofibry;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;pod zakaz;OFISMAG-POVOLZhE OOO
842092d;"Salfetki ""Steklo"" 1sht, 30kh30sm, 250g/m2, mikrofibra";0,5;0,01;20;Salfetki dlya uborki iz mikrofibry;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;;BORD OOO
842004;Salfetka MIKROFIBRA;0,02;;1;Salfetki dlya uborki iz mikrofibry;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;dlya Mist.- Bulgar;Nasyyrov Azat Agzamutdinovich IP
210125;Plenka PE pisch. 300mm kh 200m, belaya W/T;2;0,008;8;Plenki pischevye PE 300 mm;Plenki pischevye;4. Polietilenovaya upakovka;pod zakaz;UPAKOVKA I SERVIS OOO
821020sh;"Plenka PE pisch. 300mm kh 200m, prozrachnaya, ""E""";;0,02;12;Plenki pischevye PE 300 mm;Plenki pischevye;4. Polietilenovaya upakovka;<>;OMEGA OOO
210013;Plenka PE pisch. 300mm kh 20m 9mkm  (s nozhom-perforatsiey v futlyare);2,3;0,017;24;Plenki pischevye PE 300 mm;Plenki pischevye;4. Polietilenovaya upakovka;vremenno ne proizvoditsya;RUSAL - Sayanskaya folga OOO
210031;Plenka PE pisch. 300mm kh 30m 9mkm (s nozhom-perforatsiey v futlyare);2;0,017;24;Plenki pischevye PE 300 mm;Plenki pischevye;4. Polietilenovaya upakovka;vremenno ne proizvoditsya;RUSAL - Sayanskaya folga OOO
210007;Plenka PE pisch. 300mm kh 30m 9mkm  SAYANA  (upakovka - PP plenka);2,2;0,18;40;Plenki pischevye PE 300 mm;Plenki pischevye;4. Polietilenovaya upakovka;vremenno ne proizvoditsya;RUSAL - Sayanskaya folga OOO
210140;Plenka PE pisch. 300mm kh 200m belaya EKO, 7 mkm;2,6;0,009;6;Plenki pischevye PE 300 mm;Plenki pischevye;4. Polietilenovaya upakovka;snyat s prodazh;EM-PLAST OOO
210340e;Plenka PE pisch. 300mm kh 300m belaya , 9 mkm;4,63;0,014;6;Plenki pischevye PE 300 mm;Plenki pischevye;4. Polietilenovaya upakovka;vremenno ne postavlyaetsya;EVROPAK-TREYD OOO
210169e;Plenka PE pisch. 300mm kh 200m belaya, 9 mkm;3,48;0,018;8;Plenki pischevye PE 300 mm;Plenki pischevye;4. Polietilenovaya upakovka;vremenno ne postavlyaetsya;EVROPAK-TREYD OOO
210140p;Plenka PE pisch. 300mm kh 200m belaya 7 mkm;1,44;0,008;6;Plenki pischevye PE 300 mm;Plenki pischevye;4. Polietilenovaya upakovka;;POLIROL OOO
158171;Kryshka d-95mm, h-25mm, prozrachnaya, OPS;8,4;0,092;1,3;Kryshki k kruglym konteyneram universalnye PS D do 120 mm;Kryshki k konteyneram universalnye;2. Upakovka;snyat s prodazh;TSK KOMUS OOO
159580;Kryshka oval 215x139kh7mm, prozrachnaya, OPS;3,3;0,07;0,4;Kryshki k ovalnym i proch. konteyneram universalnye PS;Kryshki k konteyneram universalnye;2. Upakovka;ARKhIV;TSK KOMUS OOO
158170;Kryshka krugl., d 95mm, h 36mm, prozrachn., OPS;5,2;0,12;1,5;Kryshki k kruglym konteyneram universalnye PS D do 120 mm;Kryshki k konteyneram universalnye;2. Upakovka;pod zakaz;TSK KOMUS OOO
158175;Kryshka d-92 mm, h-24mm, prozrachnaya, OPS;13;0,027;0,5;Kryshki k kruglym konteyneram universalnye PS D do 120 mm;Kryshki k konteyneram universalnye;2. Upakovka;pod zakaz;DYuNI RUS OOO
8478011b;"Zhidkoe krem mylo ""Dias"" 5l, v assortimente";5;;1;Krem-mylo ot 3.5 l v butylkakh PET;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;MAGNAT-PLYuS OOO
470117;Zhidkoe krem-mylo IQUP Clean Care PET 5 l;4,6;0,006;1;Krem-mylo ot 3.5 l v butylkakh PET;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;;AYKAP OOO
847025;"Krem-mylo zhidkoe ""Lada"" fruktovoe  5 l";5;0,01;3;Krem-mylo ot 3.5 l v butylkakh PET;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;<>;Vikont TD OOO
481128;"ZhMS   ""TRIKLOBAKT"",  Antibakterialnoe tualetnoe krem-mylo, 5l PET";5,1;0,007;1;Krem-mylo ot 3.5 l v butylkakh PET;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;NOVYY PROGRESS OOO
481127;"ZhMS   ""TRIKLOBAKT"",  Antibakterialnoe tualetnoe krem-mylo, 1l  (Nasos)";9;0,016;9;Krem-mylo 1.0-3.4 s vintovoy kryshkoy;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;NOVYY PROGRESS OOO
470117/;Zhidkoe krem-mylo IQUP Clean Care PET 5 l;4,6;0,006;4;Krem-mylo ot 3.5 l v butylkakh PET;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;Marketpleys Wildberries;AYKAP OOO
8478012v//;Zhidkoe krem-mylo MILANA chernika v yogurte,5.0l;;;4;Krem-mylo ot 3.5 l v butylkakh PET;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;;ASTARTA OOO
455054/;Zhidkoe mylo-krem dlya rukTork Premium, 1l.;6,7;0,015;6;Krem-mylo 1.0-3.4 s vintovoy kryshkoy;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;FLITSERVIS KO OOO
455054;Zhidkoe mylo-krem dlya rukTork Premium, 1l.;6,7;0,015;6;Krem-mylo 1.0-3.4 s vintovoy kryshkoy;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;rasprodazha;FLITSERVIS KO OOO
821143;Plenka pischev.PVKh 450mm*900m,10mkm,shampan;4,48;0,01;1;Plenki pischevye PVKh 430-450 mm;Plenki pischevye;4. Polietilenovaya upakovka;pod zakaz;USP OOO
211510;Plenka pisch. PVKh 450mm kh 900m 9mkm;4,6;0,009;1;Plenki pischevye PVKh 430-450 mm;Plenki pischevye;4. Polietilenovaya upakovka;pod zakaz;KLARITI OOO
211509o;"Plenka pisch. PVKh 450mm kh 900m 9mkm ""E""";6;0,01;1;Plenki pischevye PVKh 430-450 mm;Plenki pischevye;4. Polietilenovaya upakovka;;PIVIRAN OOO
211537;Plenka pisch. PVKh 450mm kh 900m 14mkm;6;0,01;1;Plenki pischevye PVKh 430-450 mm;Plenki pischevye;4. Polietilenovaya upakovka;pod zakaz;PIVIRAN OOO
211535oo;Plenka pisch. PVKh 450mm kh 1200m 10mkm;6,2;0,01;1;Plenki pischevye PVKh 430-450 mm;Plenki pischevye;4. Polietilenovaya upakovka;;PIVIRAN OOO
159491;Kryshka kvadratn., 160kh160kh13,8mm, prozrachn., PP;7,01;0,096;0,45;Kryshki k pryamougolnym konteyneram universalnye PP dlinoy ot 150 mm;Kryshki k konteyneram universalnye;2. Upakovka;pod zakaz;PoliEr OOO
593008;Kryshka pryam. 179x132kh8mm, poluprozrachnaya, PP dlya TsPP;2,83;0,053;0,5;Kryshki k pryamougolnym konteyneram universalnye PP dlinoy ot 150 mm;Kryshki k konteyneram universalnye;2. Upakovka;TsPP;PoliEr OOO
159885;Kryshka pryamoug., 186kh132kh6mm, p/prozrachn., PP;4,01;0,054;0,5;Kryshki k pryamougolnym konteyneram universalnye PP dlinoy ot 150 mm;Kryshki k konteyneram universalnye;2. Upakovka;;YuRIN IVAN VLADIMIROVICh IP
159188/;Kryshka pryam. 230kh170kh22,5mm, poluprozrachnaya, PP;6,2;0,109;0,3;Kryshki k pryamougolnym konteyneram universalnye PP dlinoy ot 150 mm;Kryshki k konteyneram universalnye;2. Upakovka;;PoliEr OOO
8159816;"Kryshka 179x132mm, poluprozrachnaya, PP ""FLAGMAN"" 50 sht/up 300 sht/kor";;;;Kryshki k pryamougolnym konteyneram universalnye PP dlinoy ot 150 mm;Kryshki k konteyneram universalnye;2. Upakovka;ARKhIV;
159583a;Kryshka k konteyneru 3000ml, pryam. 350kh165mm, prozrachnaya, PVKh (IP-3000kr);3;0,09;0,2;Kryshki k pryamougolnym konteyneram universalnye PVKh;Kryshki k konteyneram universalnye;2. Upakovka;snyat s proizvodstva;KhOLDING PROTEK OOO
252007/;Korobka d/rolla 200kh86kh38mm kraft bez pechati;7,1;0,018;0,5;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;;TIPOGRAFIYa ALBATROS OOO
252007f;"Korobka d/rolla 210kh80kh60mm s pechatyu ""FOODkort""";6;0,012;0,4;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;;TIPOGRAFIYa ALBATROS OOO
88252007n;Korobka d/rolla 200kh70kh55mm ECO PILLOW, kraft bez pechati;;;0,6;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;dlya Mist.- KZKh;DZhIDISI EAS OOO
252007n/;"Korobka d/rollov, 70kh200kh55mm, ECO Pillow ""Pure Kraft""kraft, d/rolla, karton";8,2;0,033;0,6;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;;DZhIDISI EAS OOO
593038;Korobka d/rolla 200kh70kh55mm ECO PILLOW, kraft bez pechati;8,2;0,033;0,6;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;TsPP;DZhIDISI EAS OOO
252007n;Korobka d/rolla 200kh70kh55mm ECO PILLOW, kraft bez pechati;8,2;0,033;0,6;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;;DZhIDISI EAS OOO
8475155;Sredstvo dlya prochistki kanal. stokov �ChISTOFOR� KRUT,1 l.;10,6;0,02;10;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;;INTER-KhOUM OOO
475711/;"Sredstvo d/ochistki trub ""KROT"" 1l.";13,7;0,024;12;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;snyat s proizvodstva;TPK ChISTYY MIR OOO
481037z;Gel dlya udaleniya zasorov i otlozheniy v trubakh, PREMIUM HOUSE, 1l;6,3;0,014;6;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;pod zakaz;DEK OOO
481606;"Sredstvo schelochnoe dlya prochistki kanalizatsionnykh trub ""Digger-gel"" Professional 1000 ml";;;8;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;;TD GRASS OOO
847590l;Sredstvo Vantuz dlya trub, 5 l;;;4;Sredstva dlya udaleniya zasorov i prochistki trub do 2 l (kg);Sredstva dlya udaleniya zasorov i prochistki trub;3. Servirovka stola i tovary dlya klininga;;RASKhODNYE MATERIALY - URAL OOO
191105z;Nozh 190mm, zelen., kukuruznyy krakhmal;6,3;0,016;20;Nozhi iz kukuruzngo krakhmala ot 170 mm;Nozhi;1. Odnorazovaya posuda;;Hangzhou Yifeng Biotechnology Co,.LTD
191105;Nozh 190mm, bel., kukuruznyy krakhmal;6,3;0,015;20;Nozhi iz kukuruzngo krakhmala ot 170 mm;Nozhi;1. Odnorazovaya posuda;;Hangzhou Yifeng Biotechnology Co,.LTD
210464;"Plenka PE pisch. 450mm kh 200m zheltaya ""E"", 9 mkm";9;0,023;9;Plenki pischevye PE 450 mm;Plenki pischevye;4. Polietilenovaya upakovka;vremenno ne postavlyaetsya;DPZ PRODAZhI I MARKETING OOO
210470;Plenka PE pisch. 450mm kh 200m belaya, 7mkm;8,8;0,023;10;Plenki pischevye PE 450 mm;Plenki pischevye;4. Polietilenovaya upakovka;;DPZ PRODAZhI I MARKETING OOO
210560;"Plenka PE pisch. 450mm kh 250m belaya ""E"", 7 mkm";7,5;0,023;9;Plenki pischevye PE 450 mm;Plenki pischevye;4. Polietilenovaya upakovka;;DPZ PRODAZhI I MARKETING OOO
210565;"Plenka PE pisch. 450mm kh 250m zheltaya ""E"", 7 mkm";7,5;0,023;9;Plenki pischevye PE 450 mm;Plenki pischevye;4. Polietilenovaya upakovka;pod zakaz;DPZ PRODAZhI I MARKETING OOO
821043;Plenka PE pisch. 450mm kh 200m prozrachnaya, 6 mkm;6,7;0,02;15;Plenki pischevye PE 450 mm;Plenki pischevye;4. Polietilenovaya upakovka;snyat s proizvodstva;DPZ PRODAZhI I MARKETING OOO
420131/;Salfetka khoz. 30kh34sm, viskoza, poliester;5;0,04;50;Salfetki dlya uborki iz viskozy;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;;TONUS-L OOO
842034k;WB Salfetka 30*30sm, viskoza 3sht;1,7;0,033;60;Salfetki dlya uborki iz viskozy;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;;YuZhNOE GOSTEPRIIMSTVO-2 OOO
842032;Salfetka universalnaya viskoznaya (5sht) RTs;4;0,04;42;Salfetki dlya uborki iz viskozy;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;pod zakaz;Ekvit� OOO
842033;Salfetka universalnaya viskoznaya (3sht) RTs;4;0,04;60;Salfetki dlya uborki iz viskozy;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;pod zakaz;Ekvit� OOO
420132b;Salfetka khoz. 30kh30sm, viskoza, poliester, rozovaya;1,5;0,027;500;Salfetki dlya uborki iz viskozy;Protirochnye salfetki;3. Servirovka stola i tovary dlya klininga;pod zakaz;ALPAK OOO
829802k;PET butylka 0.5l,kvadratnaya, prozrachn., shirokoe gorlo, b/kryshki;2,2;0,098;0,1;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;;NOVATEK
8291007;PET butylka, prozrachn.,1l,gorlo 28mm, kryshka v komplekte;3,4;0,21;0,12;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;VIPET OOO
8298011;PET butylka, prozrachn., 0,097 l s kryshkoy, shirokoe gorlo;3,35;0,07;0,22;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;;VOZDUKh OOO
291057a;PET butylka, prozrachn., 1 l s kryshkoy;1,41;0,087;0,05;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;vremenno ne proizvoditsya;PLASTTORGSERVIS OOO
291034a;PET butylka prozrachn., 0.100 l s kryshkoy, shirokoe gorlo;10,62;0,165;0,6;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;vremenno ne proizvoditsya;PLASTTORGSERVIS OOO
291076;PET butylka prozrachn., 0.1 l kvadrat. 40kh40mm,  h 95 mm, s kryshkoy, shirokoe gorlo;2,3;0,085;0,6;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;;MASTERPET OOO
291097;PET butylka, prozrachn., 1,0 l,  h 245 mm,  d 84,5 mm, s kryshkoy;2,5;0,149;0,1;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;MASTERPET OOO
291101;PET butylka, prozrachn., 1.5 l s kryshkoy;1,3;0,135;0,05;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;MASTERPET OOO
202649;Lotok 210kh155kh30mm, bel., VPS N-30;2,42;0,13;0,5;Lotki VPS belye dlinoy 150-220 mm, vysotoy 26-35 mm;Lotki;2. Upakovka;pod zakaz;POLIFORM OOO
202236;"Lotok 178kh135kh30 belyy VPS C-31 ""A""";1,5;0,054;0,3;Lotki VPS belye dlinoy 150-220 mm, vysotoy 26-35 mm;Lotki;2. Upakovka;<>;KhOLDING PROTEK OOO
8202271;Lotok 200kh154kh33mm, bel., VPS;2,03;0,2;0,6;Lotki VPS belye dlinoy 150-220 mm, vysotoy 26-35 mm;Lotki;2. Upakovka;;INDUSTRIYa UPAKOVKI OOO TD
8202108;Lotok 210kh156kh33mm, bel., VPS;;;0,3;Lotki VPS belye dlinoy 150-220 mm, vysotoy 26-35 mm;Lotki;2. Upakovka;;YuNIT-GRUPP OOO
202650a;Lotok 210kh155kh30 belyy VPS V-30;1,3;0,103;0,25;Lotki VPS belye dlinoy 150-220 mm, vysotoy 26-35 mm;Lotki;2. Upakovka;;GRAND PAK OOO
217960;"Malyarnaya kleykaya lenta 48mmkh25m, ""PROFITTO""";6,3;0,021;36;Kleykaya lenta malyarnaya;Kleykaya lenta;4. Polietilenovaya upakovka;pod zakaz;SOYuZPAK OOO
217821;"Dvukhstoronnyaya kleykaya lenta 48mm*10m ""PROFITTO""";4,2;0,021;36;Kleykaya lenta dvukhstoronnyaya;Kleykaya lenta;4. Polietilenovaya upakovka;snyat s prodazh;SOYuZPAK OOO
217920f;"Malyarnaya kleykaya lenta 50mm*50m ""Professional"", bel.";6,3;0,02;36;Kleykaya lenta malyarnaya;Kleykaya lenta;4. Polietilenovaya upakovka;pod zakaz;FREGAT GRUPP OOO
217765;"Malyarnaya kleykaya lenta 48mm kh 45m ""Professional"", bel.";6,6;0,048;60;Kleykaya lenta malyarnaya;Kleykaya lenta;4. Polietilenovaya upakovka;snyat s prodazh;FREGAT GRUPP OOO
217765f;"Malyarnaya kleykaya lenta 48mm*45m ""Professional"", bel.";4,9;0,02;36;Kleykaya lenta malyarnaya;Kleykaya lenta;4. Polietilenovaya upakovka;snyat s prodazh;FREGAT GRUPP OOO
217960f;"Malyarnaya kleykaya lenta 48mmkh25m, ""Professional""";6,3;0,02;36;Kleykaya lenta malyarnaya;Kleykaya lenta;4. Polietilenovaya upakovka;pod zakaz;FREGAT GRUPP OOO
217960o;Malyarnaya kleykaya lenta 48mmkh25m;6,3;0,02;36;Kleykaya lenta malyarnaya;Kleykaya lenta;4. Polietilenovaya upakovka;pod zakaz;OPTITREYD OOO
821775;"Lenta malyarnaya 50mm*50m ""UNIVERSAL"" belaya (bumazhnaya)";;0,02;36;Kleykaya lenta malyarnaya;Kleykaya lenta;4. Polietilenovaya upakovka;;SOYuZPAK OOO
217991;Dvustoronyaya kleykaya lenta na osnove peny 25mm*25m;6,3;0,021;12;Kleykaya lenta dvukhstoronnyaya;Kleykaya lenta;4. Polietilenovaya upakovka;snyat s prodazh;SOYuZPAK OOO
822341s;"Paket ""mayka"" PND 30+16kh56sm, ""Poluprozrachnaya""";15,2;0,046;3;"Pakety tipa ""Mayka"" belye, chernye, prozrachnye bez dizayna";Pakety-sumki;4. Polietilenovaya upakovka;<>;LIST PAK OOO
591707;Paket-sumka 370kh400mm 40mkm Kristall;8;0,009;1;Pakety podarochnye laminirovannye razmer M;Pakety-sumki;1. Odnorazovaya posuda;TsPP;DIAPAZON AO
280439n;Paket lamin. 26kh33kh14sm dizayn NG (L3338-3342 ) v assortimente, Bumaga;16,1;0,045;200;Pakety podarochnye laminirovannye tematicheskie razmer L;Pakety-sumki;4. Polietilenovaya upakovka;NG;ARTPLAST AO
280454kk;Paket lamin. 18kh23kh10sm, dizayn NG (M2381-2385) v assortimente, Bumaga;8,6;0,03;200;Pakety podarochnye laminirovannye tematicheskie razmer M;Pakety-sumki;4. Polietilenovaya upakovka;NG;ARTPLAST AO
280494kk;Paket lamin. 18kh23kh10sm, dizayn NG (M230-234) v assortimente, Bumaga;8,6;0,03;200;Pakety podarochnye laminirovannye tematicheskie razmer M;Pakety-sumki;4. Polietilenovaya upakovka;NG;ARTPLAST AO
240911a;"Paket ""mayka"" 45+30kh75sm, PND, belaya LYuKS";11,384;0,034;0,7;"Pakety tipa ""Mayka"" belye, chernye, prozrachnye bez dizayna";Pakety-sumki;4. Polietilenovaya upakovka;pod zakaz;ARTPLAST AO
2388111;"Paket ""mayka"" 28+14kh50sm 12mkm, belyy, PND";5;0,01;1;"Pakety tipa ""Mayka"" belye, chernye, prozrachnye bez dizayna";Pakety-sumki;4. Polietilenovaya upakovka;;NIZhPOLIMERUPAK PREDPRIYaTIE OOO
430442d;Perchatki LYuKS khoz. lateksnye s khlopkovym napyleniem kauchuk na khlopk. osnove Lyuks-klass, osobo prochnye razmer XL;10,4;0,026;144;Perchatki lateksnye povyshennoy prochnosti (khozyaystvennye) razmer XL;Perchatki;3. Servirovka stola i tovary dlya klininga;;OPTITREYD OOO
430440ba/;Perchatki khayrisk lateksnye  povyshennoy prochnosti neopudrennye (khozyaystvennye) r-r XL;8,6;0,02;10;Perchatki lateksnye povyshennoy prochnosti (khozyaystvennye) razmer XL;Perchatki;3. Servirovka stola i tovary dlya klininga;;OPTITREYD OOO
430440b;Perchatki khayrisk lateksnye  povyshennoy prochnosti neopudrennye (khozyaystvennye) r-r XL;8,6;0,02;10;Perchatki lateksnye povyshennoy prochnosti (khozyaystvennye) razmer XL;Perchatki;3. Servirovka stola i tovary dlya klininga;pod zakaz;OPTITREYD OOO
430441v;"Perchatki lateksnye ""Khozyayka"" razmer XL,";10,5;0,02;240;Perchatki lateksnye povyshennoy prochnosti (khozyaystvennye) razmer XL;Perchatki;3. Servirovka stola i tovary dlya klininga;;OPTITREYD OOO
430445v;Perchatki PREMIUM khoz. lateksnye s khlopkovym napyleniem kauchuk na khlopk. osnove Lyuks-klass, osobo prochnye razmer XL;14;0,03;240;Perchatki lateksnye povyshennoy prochnosti (khozyaystvennye) razmer XL;Perchatki;3. Servirovka stola i tovary dlya klininga;;Zhangjiagang Yong Tong Import and Export Co.,ltd
252007d;Korobka d/rolla 200kh70kh55mm ECO PILLOW, kraft bez pechati;9;0,03;0,5;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;ARKhIV;DZhIDISI EAS OOO
252007d/;Korobka d/rollov, 70kh200kh55mm, ECO PILLOW ENJOY, s pechatyu, karton;8,1;0,032;0,5;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;pod zakaz;DZhIDISI EAS OOO
252002;Korobka d/shaurmy ili rolla s ris.Fiesta 210kh80kh60 mm;6,8;0,016;0,4;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;ARKhIV;PAPERSKOP RUS OOO
252001;Korobka d/shaurmy ili rolla kraft 210kh80kh60 mm, bez pechati;6,8;0,018;0,4;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;ARKhIV;PAPERSKOP RUS OOO
177038m;Korobka d/rollov, 70kh200kh55mm, kraft, bez pechati, karton;11,6;0,04;15;Upakovka kartonnaya dlya shaurmy;Upakovka dlya shaurmy;2. Upakovka;METRO;DZhIDISI EAS OOO
501209a;"Komplekt ""2"" (l. chern-salf)";1,7;0,041;0,25;"Komplekty 2 ""Lozhka st.+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;KhORTA OOO
501423f;"Komplekt ""4"" (v-st.l-n-salf)";;;0,3;"Komplekty 4 ""Lozhka st.+Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;VZLP OOO
501420;"Komplekt ""4"" (v-st.l-n-salf)";2,6;0,038;0,2;"Komplekty 4 ""Lozhka st.+Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;ARKhIV;DIAPAZON AO
850204;"Komplekt ""4"" (nozh,vilka,lozhka Kristall Premium,salfetka)";2;0,017;0,1;"Komplekty 4 ""Lozhka st.+Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;ELPI-TREYD OOO
501200;"Komplekt ""2"" (st.l-salf)";3;0,038;0,2;"Komplekty 2 ""Lozhka st.+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;snyat s proizvodstva;DIAPAZON AO
501423;"Komplekt ""4"" (v-st.l-n-salf)";2,5;0,038;0,3;"Komplekty 4 ""Lozhka st.+Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;Aktsiya BONUS 2%;DIAPAZON AO
187894a/;"Komplekt ""4"" (v-st.l-n-salf)";0,8;0,01;1;"Komplekty 4 ""Lozhka st.+Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;Komus;YuMIPAK OOO
847161;"Zhidkoe krem-mylo ""LAYMA Zhemchuzhnoe"", s antibakterialnym effektom,300ml,dozator";6,7;0,013;18;Krem-mylo do 1.0 l s pompoy-dozatorom;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;;SF SAMSON OOO
811514a;Stakan 1sl,GN,0,25l,D-80,belyy;7;0,07;1;Stakany bumazhnye 250-290 ml belye, kraft 1-sloynye;Stakany;1. Odnorazovaya posuda;pod zakaz;KLASSIKA-OPT OOO
182971;Stakan d/khol./gor., 0.25l, verkh. d 80mm nizhn. d 55.6mm, h 92,5mm, 260g/m2, kraft, karton;2;0,019;40;Stakany bumazhnye 250-290 ml belye, kraft 1-sloynye;Stakany;1. Odnorazovaya posuda;pod zakaz;KLASSIKA-OPT OOO
8478072;"Mylo-gel ""Professional""Lesnye yagody 5l, PET, butyl s ruchkoy";14,7;0,14;3;Mylo-gel;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;IVITEK OOO
847178b;"Gel-mylo dlya ruk ""Professional"" Indiyskiy bambuk, 0,5l,push-pul";11,04;0,019;20;Mylo-gel;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;;IVITEK OOO
8478071;"Mylo-gel ""Professional""Indiyskiy bambuk 5l, PET, butyl s ruchkoy";14,7;0,14;3;Mylo-gel;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;IVITEK OOO
455107;Mylo-sprey J95836 Tork Universal, rozrachn., 800ml;4,8;0,028;6;Mylo zhidkoe do 1.0 l s vintovoy kryshkoy i proch.;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;snyat s proizvodstva;FLITSERVIS KO OOO
455108;Mylo-pena Tork Premium, biryuzov., 800 ml;4,8;0,028;6;Mylo-pena;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;FLITSERVIS KO OOO
470072sh;Zhidkoe mylo Sinergetik �Mindalnoe molochko� s effektom uvlazhneniya, gipoallergennoe, REFILL PACK (zapasnoy blok), 0.5l.;;;25;Mylo zhidkoe do 1.0 l s vintovoy kryshkoy i proch.;Mylo zhidkoe;3. Servirovka stola i tovary dlya klininga;pod zakaz;SINERGETIK OOO
